text,covid_state,hotel_type,senti_ratio,senti_rank
"Tudo perfeito!A localização, ímpar e especial mesmo sobre o Douro; o espaço super bem cuidado,a cascata, a zona da piscina e dos puffs; as casas, pensadas ao pormenor, acolhedoras, familiares e com uma vista espetacular; o serviço, cuidado, atencioso e sem deixar que nada falhe. Muitas vezes estes tipos de alojamento não têm serviço de jantar, e as casas pousadouro, não tendo restaurante, proporcionam o serviço de jantar vindo de fora.A voltar!",Pre-Covid,acampamento,0.6666656666666666,Positive
"Um fim de semana muito bom o espaço é muito bonito, ambiente maravilhoso, paisagem muito bonita, a casa muito bem arranjada e limpa.  A equipa muito simpática, serviço muito bom. Nada a apontar. A repetir sem dúvida.",Pre-Covid,acampamento,0.999999,Positive
"ExcelenteTivemos uma óptima estadia, serviço de check in muito simpático prestando todas as informações necessárias não só sobre as casas como também sobre alternativas sobre o que fazer à volta! Casa com todas as comodidades, limpeza sem nada a comentar, pormenores que nos fazem garantidamente voltar!A localização e a vista das casas são de cortar a respiração!Continuem o excelente trabalho!",Pre-Covid,acampamento,0.999999,Positive
"É o paraíso!!!Viagem em família e as 3 gerações adoraram! As crianças divertiram-se imenso, os três com diferença de 7 anos entre eles!Fomos calorosamente recebidos pelos donos e pela querida Diana!Durante a nossa estadia fomos muito bem  tratados e com toda a simpatia, também pela Adelaide e Marie!O local e maravilhoso de cortar a respiração...Voltarei sempre que puder!O Jorge fez-nos sentir em casa neste seu pedaço de Paraíso no Douro!",Pre-Covid,acampamento,0.799999,Positive
"Belíssimas casas junto ao rio, com canoas e outros recursos para aproveitar o rio da melhor maneira. O pessoal é super prestável, simpático e empenhado em proporcionar uma estadia perfeita. O cenário é belo. O comboio que parte da encantadora estação de Caldas de Aregos (onde ""aterrou"" o Jacinto do Eça, a 5 mins) leva-nos para o interior sempre à beira Douro, e vale bem a pena visitar o Pinhão, com as suas explorações vinícolas e os passeios de barco numa paisagem de postal. Mas nem é preciso sair das Casas de Pousadouro para desfrutar de uns dias maravilhosos!",Pre-Covid,acampamento,0.6999989999999999,Positive
"Marquei a estadia nas Casas do Pousadouro para comemorar uma ocasião especial de aniversário de um familiar, sem saber bem o que iria esperar, baseado apenas nas maravilhosas imagens e no profissionalismo do site e pouco mais. Convidei amigos do estrangeiro e outros familiares para passarmos 3 dias de férias. No total eramos 17 e ocupámos 3 das 4 casas. O que aconteceu foi o que não imaginava ser possivel: o local ultrapassa largamente em beleza, harmonia, bom gosto e charme, tudo o que o website apresenta! A limpeza das casas, o seu imenso bom gosto, os equipamentos e meios de cada casa, a localização, que proporcionou momentos inesqueciveis de lazer no rio, na piscina e nas areas comuns... E muito importante: a simpatia da Adelaide, a sua inesgotável disponibilidade diária, muito para lá do necessário, o deixar-nos a todos tão à vontade que deu vontade de chamar ao espaço de nossa casa! Muito pobrigado Adelaide e muitos Parabéns a quem pensou, construiu e mantem esta perola no Douro! ALTAMENTE recomendado para familias com filhos pequenos, médios, grandes ou sem filhos! Uma palavra final para a Rosana que sempre deu todo o apoio necessário para concretizar este sonho. Até sempre, até breve!",Pre-Covid,acampamento,0.7894726842105263,Positive
"Vista fabulosa para o Rio Douro, num espaço muito acolhedor e tranquilo. Os anfitriões são muitos simpáticos e receptivos. Estivemos num fim de semana em que havia uma harmonia perfeita. Super recomendo 😊",Pre-Covid,acampamento,0.999999,Positive
"Mais uma vez uma experiência incrível que faz com que apeteça voltar, voltar e voltar.A sempre simpática recepção como se fizéssemos parte da Família.Desta vez na Casa da Rocha mais uma experiência incrível!!!!A comodidade das camas, o conforto da sala, a limpeza do espaço e a decoração com todos os seus detalhes fazem com apeteça ficar.As rochas dentro da casa, a salamandra, a vista inigualável, o silêncio e toda a paz que se sente fazem da nossa estadia uma estadia mágicaO espaço envolvente sempre muito cuidado e cheio de recantos que convidam ao descanso.Local ideal para ter experiências incríveis e recuperar energias!!!Obrigada Jorge, obrigada Adelaide, obrigada AntóniaAté breve",Pre-Covid,acampamento,0.27272627272727273,Neutral
É o meu destino de eleição em Portugal. Com uma situação geográfica única aliado ao bom gosto e conforto das casas é o local ideal para permanecer para sempre. Se existe Paraiso este é um deles.Para nos receber o sorriso atento da Adeleide e da Dona Antónia que todos os dias nos entregavam o sumo fresco de Laranja assim como um delicioso pão quente.Todas as casas são  excelentes. Desta vez reservei a Casa da Rocha. Pela particularidade desta fazer parte da própria casa e de estar localizada mesmo em cima da piscina em com Douro a seus pés.,Pre-Covid,acampamento,0.6666656666666666,Positive
"Um sítio magnífico, sentimo-nos em casa. Uma óptima recepção, que desde já agradeço na pessoa do Sr. Jorge Amorim, o proprietário, as funcionárias sempre disponíveis. Depois as casas, o local, muito, muito bom. Uma óptima passagem de ano entre amigos na “nossa casa”. Recomendo vivamente. A repetir, sem dúvida. Bom ano para todos",Pre-Covid,acampamento,0.7142847142857143,Positive
